 Measured residence time data for different reactors
  Time    Reactor1   Reactor2   Reactor3   Reactor4   Reactor5 
 448.00   0.000000   0.000000   0.000000   0.001843   0.002718  
 449.00   0.000000   0.000000   0.000000   0.001824   0.002689  
 450.00   0.000000   0.000000   0.000000   0.001806   0.002660  
 451.00   0.000000   0.000000   0.000000   0.001787   0.002632  
 452.00   0.000000   0.000000   0.000000   0.001769   0.002604  
 453.00   0.000000   0.000000   0.000000   0.001751   0.002576  
 454.00   0.000000   0.000000   0.000000   0.001732   0.002548  
 455.00   0.000000   0.000000   0.000000   0.001715   0.002521  
 456.00   0.000000   0.000000   0.000000   0.001697   0.002494  
 457.00   0.000000   0.000000   0.000000   0.001680   0.002468  
 458.00   0.000000   0.000000   0.000000   0.001662   0.002441  
 459.00   0.000000   0.000000   0.000000   0.001645   0.002415  
 460.00   0.000000   0.000000   0.000000   0.001628   0.002390  
 461.00   0.000000   0.000000   0.000000   0.001611   0.002364  
 462.00   0.000000   0.000000   0.000000   0.001595   0.002339  
 463.00   0.000000   0.000000   0.000000   0.001578   0.002314  
 464.00   0.000000   0.000000   0.000000   0.001562   0.002289  
 465.00   0.000000   0.000000   0.000000   0.001546   0.002265  
 466.00   0.000000   0.000000   0.000000   0.001530   0.002241  
 467.00   0.000000   0.000000   0.000000   0.001514   0.002217  
 468.00   0.000000   0.000000   0.000000   0.001499   0.002193  
 469.00   0.000000   0.000000   0.000000   0.001483   0.002170  
 470.00   0.000000   0.000000   0.000000   0.001468   0.002146  
 471.00   0.000000   0.000000   0.000000   0.001453   0.002124  
 472.00   0.000000   0.000000   0.000000   0.001438   0.002101  
 473.00   0.000000   0.000000   0.000000   0.001423   0.002078  
 474.00   0.000000   0.000000   0.000000   0.001408   0.002056  
 475.00   0.000000   0.000000   0.000000   0.001394   0.002034  
 476.00   0.000000   0.000000   0.000000   0.001379   0.002013  
 477.00   0.000000   0.000000   0.000000   0.001365   0.001991  
 478.00   0.000000   0.000000   0.000000   0.001351   0.001970  
 479.00   0.000000   0.000000   0.000000   0.001337   0.001949  
 480.00   0.000000   0.000000   0.000000   0.001323   0.001928  
 481.00   0.000000   0.000000   0.000000   0.001309   0.001907  
 482.00   0.000000   0.000000   0.000000   0.001296   0.001887  
 483.00   0.000000   0.000000   0.000000   0.001283   0.001867  
 484.00   0.000000   0.000000   0.000000   0.001269   0.001847  
 485.00   0.000000   0.000000   0.000000   0.001256   0.001827  
 486.00   0.000000   0.000000   0.000000   0.001243   0.001808  
 487.00   0.000000   0.000000   0.000000   0.001230   0.001789  
 488.00   0.000000   0.000000   0.000000   0.001218   0.001769  
 489.00   0.000000   0.000000   0.000000   0.001205   0.001751  
 490.00   0.000000   0.000000   0.000000   0.001193   0.001732  
 491.00   0.000000   0.000000   0.000000   0.001180   0.001713  
 492.00   0.000000   0.000000   0.000000   0.001168   0.001695  
 493.00   0.000000   0.000000   0.000000   0.001156   0.001677  
 494.00   0.000000   0.000000   0.000000   0.001144   0.001659  
 495.00   0.000000   0.000000   0.000000   0.001132   0.001641  
 496.00   0.000000   0.000000   0.000000   0.001121   0.001624  
 497.00   0.000000   0.000000   0.000000   0.001109   0.001607  
 498.00   0.000000   0.000000   0.000000   0.001097   0.001589  
 499.00   0.000000   0.000000   0.000000   0.001086   0.001572  
 500.00   0.000000   0.000000   0.000000   0.001075   0.001556  
